Food Items,Energy kcal,Carbs,Protein(g),Fat(g),Freesugar(g),Fibre(g),Cholestrol(mg),Calcium(mg),Consumption Tips
Paneer kaathi roll,285.94,20.1,6.92,19.55,3.29,2.4,30.84,101.66,Consider halving portion size if watching total caloric consumption. | Pair with Vitamin D sources like sunlight or eggs for better calcium absorption.
Makki ki roti,263.97,24.19,3.49,16.85,0.7,5.19,39.07,14.76,Pair with a glass of water or herbal tea for optimal digestive comfort. | Consume with plenty of water to support smooth digestion.
Washed moong dal (Dhuli moong ki dal),50,5.91,2.68,1.68,0.12,1.17,0,8.48,Pair with a glass of water or herbal tea for optimal digestive comfort. | Light on the digestive system; suitable for those recovering from illness.
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,0.32,1.53,0,10.24,Combining with a protein source makes this a more complete and satisfying meal. | Fresh preparation retains the most nutrients; avoid overcooking.
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.1,2.79,3.6,1.05,2.72,0,14.33,Combining with a protein source makes this a more complete and satisfying meal. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Dry washed urad,124.71,15.66,6.85,3.5,0.73,4.06,0,27.08,Pair with a glass of water or herbal tea for optimal digestive comfort. | Ideal when combined with seasonal vegetables for a wholesome meal.
Mixed dal,61.93,5.79,2.51,3.1,0.34,1.62,0,11,A great option during festive occasions — just keep portions in check. | Combining with a protein source makes this a more complete and satisfying meal.
Whole moong (Moong ki dal),53.7,5.22,2.25,2.56,0.59,2.02,0,13.58,Fresh preparation retains the most nutrients; avoid overcooking. | Ideal when combined with seasonal vegetables for a wholesome meal.
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,0.67,1.98,0,12.2,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Works well as a side dish or main course depending on your daily energy needs.
Whole moth (Moth ki dal),55,5.74,2.01,2.62,0.66,1.85,0,18.98,Include in your weekly rotation to diversify your nutritional intake. | Include in evening meals for light yet satisfying nourishment.
Whole urad (Urad ki dal),53.8,5.05,2.21,2.62,0.57,2.32,0,13.07,Very low in fat — an excellent choice for heart-healthy and low-fat diets. | Light on the digestive system; suitable for those recovering from illness.
Moti mahal dal (Urad rajmah mix dal),103.13,8.74,3.93,5.66,1.7,3.38,1.92,38.13,Include in your weekly rotation to diversify your nutritional intake. | Excellent choice for those managing cholesterol or blood sugar levels.
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,14.11,5.67,6.61,2.36,7.99,0,53.87,Works well as a side dish or main course depending on your daily energy needs. | A great option during festive occasions — just keep portions in check.
Chickpeas curry (Safed channa curry),163.43,19.98,6.1,6.84,4.78,4.73,0,30.61,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Consume with plenty of water to support smooth digestion.
Lobia curry,148.99,17.88,6.06,5.62,2.51,4.57,0,36.8,A great option during festive occasions — just keep portions in check. | Include in your weekly rotation to diversify your nutritional intake.
Soyabean curry,163.28,6.76,10.43,10.19,2.66,7.34,0,65.13,Pair with complex carbs for a complete and balanced macronutrient meal. | Combining with a protein source makes this a more complete and satisfying meal.
Kidney bean curry (Rajmah curry),143.73,16.38,5.95,5.77,2.49,5.83,0,47.87,Works well as a side dish or main course depending on your daily energy needs. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Sambar,96.92,10.57,3.35,4.38,3.31,3.52,0,30.24,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Combining with a protein source makes this a more complete and satisfying meal.
Besan kadhi with pakodies,403.35,3.56,1.64,42.59,0.88,0.81,0.94,24.53,Moderate fat content — suitable for active individuals with higher energy demands. | Enjoy in controlled portions; best reserved as an occasional indulgence.
Khatta channa,202.57,21.14,6.3,10.56,4.75,5.26,0,40.77,Consume in moderate portions and savour mindfully for maximum enjoyment. | Great as a midday meal to maintain healthy gut function and satiety.
Sprouted moong dal chat,32.47,6.01,1.35,0.32,1.57,1.35,0,16.54,A great option during festive occasions — just keep portions in check. | Include in evening meals for light yet satisfying nourishment.
Potato cauliflower (Aloo gobhi),106.18,5.99,1.9,8.13,0.44,3.02,0,22.87,"Best enjoyed fresh and as part of a varied, balanced daily diet. | A great option during festive occasions — just keep portions in check."
Potato capsicum (Shimla mirch aloo),125.53,8.72,1.41,9.33,0.54,2.02,0,16.45,Pair with a glass of water or herbal tea for optimal digestive comfort. | Ideal when combined with seasonal vegetables for a wholesome meal.
Cabbage and peas (Pattagobhi aur matar),63.88,6.24,3.24,2.64,0.97,3.99,0,45.5,Works well as a side dish or main course depending on your daily energy needs. | A smart low-calorie option — ideal for weight management plans.
Carrot and fenugreek leaves (Gajar methi),61.92,4.17,2.1,3.81,2.11,4.43,0,128.83,Combining with a protein source makes this a more complete and satisfying meal. | Pair with Vitamin D sources like sunlight or eggs for better calcium absorption.
Potato fenugreek (Aloo methi),135.15,8.47,2.25,10.04,0.54,2.93,0,107.8,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Combining with a protein source makes this a more complete and satisfying meal.
Brinjal bhartha (Baingan ka bhartha),65.12,4.4,1.38,4.48,1.82,3.27,0,17.85,Excellent choice for those managing cholesterol or blood sugar levels. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Dry potato (Sookhe aloo),103.15,14.38,1.62,4.18,0.33,1.88,0,17.2,Pair with a glass of water or herbal tea for optimal digestive comfort. | Works well as a side dish or main course depending on your daily energy needs.
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,4.39,2.62,11.39,2.06,5.59,0,51.92,Works well as a side dish or main course depending on your daily energy needs. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,3.99,2.64,11.56,1.71,5.27,0,35.37,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Carrot and cabbage with coconut (Nariyal ke saath pattagobhi aur gajar),106.61,4.99,1.82,8.62,2.36,4.52,0,48.63,Include in your weekly rotation to diversify your nutritional intake. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Raw turnip with coconut ,132.15,5.78,1.8,11.47,4.4,2.79,0,50.65,Include in your weekly rotation to diversify your nutritional intake. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Raw papaya with coconut (Papaya thoran),132.75,5.58,1.54,11.42,3.82,4.31,0,33.74,"Moderate fat content — suitable for active individuals with higher energy demands. | Best enjoyed fresh and as part of a varied, balanced daily diet."
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,0.48,4.15,0,86.89,Works well as a side dish or main course depending on your daily energy needs. | Excellent choice for those managing cholesterol or blood sugar levels.
Stuffed round gourd (Bharwa tinde),72.8,4.02,1.1,5.75,1.96,2.1,0,20.21,Fresh preparation retains the most nutrients; avoid overcooking. | Combining with a protein source makes this a more complete and satisfying meal.
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.7,1.21,2.01,0,15.17,Include in your weekly rotation to diversify your nutritional intake. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Stuffed brinjal (Bharwa baingan),93,3.96,1.53,7.73,0.92,4.09,0,24.37,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Fresh preparation retains the most nutrients; avoid overcooking."
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,2.68,2.2,0,59.16,Can be eaten generously without fear of calorie overload; great as a snack. | A smart low-calorie option — ideal for weight management plans.
Pea potato curry (Aloo matar),100.92,9.74,3.48,5.13,1.86,3.61,0,21.1,Works well as a side dish or main course depending on your daily energy needs. | A great option during festive occasions — just keep portions in check.
Pea paneer curry (Matar paneer),134.83,9.29,6.61,7.75,3.89,3.3,0,105.2,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | Excellent for bone and dental health — especially beneficial for growing children.
Pea mushroom curry (Matar mushroom),93.3,7.41,3.87,5.16,1.82,3.86,0,22.7,A smart low-calorie option — ideal for weight management plans. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Pea curry (Matar ki sabzi),102.99,9.2,4.51,5.11,1.98,4.44,0,24.48,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load."
Pea vadi curry,101.95,8.9,4.64,5.08,1.92,4.28,0,23.62,Pair with a glass of water or herbal tea for optimal digestive comfort. | Excellent choice for those managing cholesterol or blood sugar levels.
Paneer curry,176.52,8.4,7.8,12.38,6.29,1.4,0,189.06,Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load. | A great option during festive occasions — just keep portions in check.
Lotus stem curry (Kamal kakdi curry),110.34,9.24,1.53,7.25,2.09,3.14,0,26.59,"Best enjoyed fresh and as part of a varied, balanced daily diet. | Include in your weekly rotation to diversify your nutritional intake."
Gravy for kofta,125.59,6.31,1.75,10.35,3.73,1.96,1.18,39.65,Consume in moderate portions and savour mindfully for maximum enjoyment. | Ideal when combined with seasonal vegetables for a wholesome meal.
Pea kofta curry (Matar kofta curry),595.66,4.17,2.01,63.39,0.88,1.7,0.21,13.84,Moderate fat content — suitable for active individuals with higher energy demands. | Pair with a glass of water or herbal tea for optimal digestive comfort.
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,0.82,0.92,0.2,29.31,Ideal when combined with seasonal vegetables for a wholesome meal. | Combining with a protein source makes this a more complete and satisfying meal.
Paneer kofta curry,670.91,3.27,2.39,72.06,1.98,0.4,0.24,59.49,Enjoy in controlled portions; best reserved as an occasional indulgence. | Consume in moderate portions and savour mindfully for maximum enjoyment.
Lotus stem kofta curry (Kamal kakdi kofta curry),633.56,5.01,0.96,67.76,0.88,1.01,0.23,19.31,Ideal when combined with seasonal vegetables for a wholesome meal. | A great option during festive occasions — just keep portions in check.
Raw banana kofta curry (Kela kofta curry),627.27,3.4,0.62,67.98,2.3,0.59,0.23,9.23,Rich in fats — consume mindfully and balance with active movement during the day. | A great option during festive occasions — just keep portions in check.
Cauliflower kofta curry (Phoolgobhi kofta curry),641.1,2.62,1.04,69.62,0.83,1,0.23,12.26,Opt for smaller servings and pair with salads or raw vegetables for balance. | Combining with a protein source makes this a more complete and satisfying meal.
Cabbage kofta curry (Pattagobhi kofta curry),639.81,2.87,0.98,69.4,0.89,0.9,0.23,15.46,Rich in fats — consume mindfully and balance with active movement during the day. | A great option during festive occasions — just keep portions in check.
Ghiya/Lauki Kofta Curry,638.71,2.71,0.89,69.4,0.82,0.83,0.23,11.64,Rich in fats — consume mindfully and balance with active movement during the day. | Can be prepared in multiple healthy styles — steaming or grilling reduces calorie load.
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41,1.16,0.75,0.22,37.71,Opt for smaller servings and pair with salads or raw vegetables for balance. | Combining with a protein source makes this a more complete and satisfying meal.
Vegetarian egg kofta curry,627.41,4.26,1.33,67.24,1.19,0.64,0.22,28.39,Ideal when combined with seasonal vegetables for a wholesome meal. | Combining with a protein source makes this a more complete and satisfying meal.
Baked vegetables,88.99,8.44,3.67,4.44,2.56,2.34,8.27,80.2,"Best enjoyed fresh and as part of a varied, balanced daily diet. | A great option during festive occasions — just keep portions in check."
Cauliflower musallam (Phoolgobhi musallam),58.83,4.48,1.89,3.55,1.71,3.06,0,24.61,Pair with a glass of water or herbal tea for optimal digestive comfort. | Include in evening meals for light yet satisfying nourishment.
Baked vegetables with spinach ,77.79,6.93,3.22,4.03,2.09,2.33,6.55,78.63,Works well as a side dish or main course depending on your daily energy needs. | Combining with a protein source makes this a more complete and satisfying meal.
